Name: Spadina Avenue, Instruction: Head southwest on Spadina Avenue, Distance: 82.7 meters, Time: 59.5 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Turn left, Distance: 725.5 meters, Time: 522.4 seconds
Name: -, Instruction: Keep right, Distance: 521.8 meters, Time: 375.7 seconds
Name: -, Instruction: Keep right, Distance: 361.3 meters, Time: 260.1 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 92.2 meters, Time: 66.4 seconds
Name: -, Instruction: Turn right, Distance: 407.5 meters, Time: 293.4 seconds
Name: -, Instruction: Turn left, Distance: 123.5 meters, Time: 88.9 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
