Name: Murphys Road, Instruction: Head north on Murphys Road, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 133.7 meters, Time: 96.2 seconds
Name: -, Instruction: Turn right, Distance: 32.3 meters, Time: 23.3 seconds
Name: Cranford Drive, Instruction: Turn left onto Cranford Drive, Distance: 132.5 meters, Time: 95.4 seconds
Name: Hughs Way, Instruction: Turn right onto Hughs Way, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Turn left, Distance: 95.4 meters, Time: 68.7 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: Drumbuoy Drive, Instruction: Turn left onto Drumbuoy Drive, Distance: 559.1 meters, Time: 402.5 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn left, Distance: 152.0 meters, Time: 109.4 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn right, Distance: 212.1 meters, Time: 152.7 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: Koromeke Street, Instruction: Turn left onto Koromeke Street, Distance: 134.2 meters, Time: 96.6 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
