Name: Lohenstraße, Instruction: Head west on Lohenstraße, Distance: 34.5 meters, Time: 24.9 seconds
Name: Pasinger Straße, St 2063, Instruction: Turn left onto Pasinger Straße, St 2063, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Keep left, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn left, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 91.6 meters, Time: 66.0 seconds
Name: -, Instruction: Turn left, Distance: 82.4 meters, Time: 59.3 seconds
Name: -, Instruction: Turn right, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 38.4 meters, Time: 27.7 seconds
Name: Großhaderner Straße, Instruction: Turn left onto Großhaderner Straße, Distance: 192.6 meters, Time: 138.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 428.6 meters, Time: 308.6 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Keep right, Distance: 156.7 meters, Time: 112.8 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 111.9 meters, Time: 80.6 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
