Name: شارع سعد مأمون, Instruction: Head south on شارع سعد مأمون, Distance: 126.7 meters, Time: 91.2 seconds
Name: -, Instruction: Turn right, Distance: 99.6 meters, Time: 71.7 seconds
Name: شارع مختار التتش, Instruction: Turn left onto شارع مختار التتش, Distance: 118.6 meters, Time: 85.4 seconds
Name: شارع مختار التتش, Instruction: Keep right onto شارع مختار التتش, Distance: 133.7 meters, Time: 96.3 seconds
Name: شارع مختار التتش, Instruction: Continue straight onto شارع مختار التتش, Distance: 352.4 meters, Time: 253.7 seconds
Name: طريق الشروق, Instruction: Turn slight left onto طريق الشروق, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.1 seconds
Name: طريق الشروق, Instruction: Turn left onto طريق الشروق, Distance: 100.4 meters, Time: 72.3 seconds
Name: طريق الشروق, Instruction: Enter the roundabout and take the 3rd exit onto طريق الشروق, Distance: 142.4 meters, Time: 102.6 seconds
Name: -, Instruction: Turn right, Distance: 211.7 meters, Time: 152.4 seconds
Name: شارع الاكاديميه, Instruction: Turn right onto شارع الاكاديميه, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight right, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Turn right, Distance: 180.8 meters, Time: 130.2 seconds
Name: -, Instruction: Turn right, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 80.9 meters, Time: 58.2 seconds
Name: -, Instruction: Turn right, Distance: 489.1 meters, Time: 352.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
