Name: Therese-Studer-Straße, Instruction: Head east on Therese-Studer-Straße, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn slight left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.5 seconds
Name: Deidesheimer Straße, Instruction: Turn left onto Deidesheimer Straße, Distance: 12.9 meters, Time: 9.3 seconds
Name: Hildeboldstraße, Instruction: Turn right onto Hildeboldstraße, Distance: 315.1 meters, Time: 226.9 seconds
Name: -, Instruction: Turn left, Distance: 156.7 meters, Time: 112.8 seconds
Name: -, Instruction: Turn slight left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 240.7 meters, Time: 173.3 seconds
Name: Schleißheimer Straße, Instruction: Keep right onto Schleißheimer Straße, Distance: 15.8 meters, Time: 11.4 seconds
Name: Schleißheimer Straße, Instruction: Continue straight onto Schleißheimer Straße, Distance: 38.6 meters, Time: 27.8 seconds
Name: Schleißheimer Straße, Instruction: Continue straight onto Schleißheimer Straße, Distance: 10.2 meters, Time: 7.3 seconds
Name: Schleißheimer Straße, Instruction: Keep right onto Schleißheimer Straße, Distance: 26.6 meters, Time: 19.1 seconds
Name: Schleißheimer Straße, Instruction: Continue straight onto Schleißheimer Straße, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 18.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
