Name: Cleveland Avenue, Instruction: Head southwest on Cleveland Avenue, Distance: 53.4 meters, Time: 38.5 seconds
Name: Cannon Hill Lane, Instruction: Turn right onto Cannon Hill Lane, Distance: 68.5 meters, Time: 49.3 seconds
Name: -, Instruction: Turn left, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 279.4 meters, Time: 201.2 seconds
Name: -, Instruction: Keep left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 317.9 meters, Time: 228.9 seconds
Name: -, Instruction: Keep right, Distance: 624.1 meters, Time: 449.3 seconds
Name: -, Instruction: Keep left, Distance: 583.5 meters, Time: 420.1 seconds
Name: Bushey Road, Instruction: Turn left onto Bushey Road, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Arrive at Bushey Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
