Name: Locket Road, Instruction: Head southeast on Locket Road, Distance: 65.8 meters, Time: 47.4 seconds
Name: -, Instruction: Turn left, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 186.4 meters, Time: 134.2 seconds
Name: -, Instruction: Turn slight right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight right, Distance: 260.6 meters, Time: 187.7 seconds
Name: -, Instruction: Turn left, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn slight right, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn slight left, Distance: 801.7 meters, Time: 577.2 seconds
Name: -, Instruction: Turn slight right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Keep left, Distance: 45.2 meters, Time: 32.6 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: The Lane, Instruction: Turn sharp left onto The Lane, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Keep right, Distance: 101.0 meters, Time: 72.7 seconds
Name: The Boulevard, Instruction: Turn right onto The Boulevard, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 85.5 meters, Time: 61.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Continue straight, Distance: 55.9 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 79.9 meters, Time: 57.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
