Name: Margarete-Vollmar-Straße, Instruction: Head east on Margarete-Vollmar-Straße, Distance: 28.4 meters, Time: 20.4 seconds
Name: Amalie-Nacken-Straße, Instruction: Turn left onto Amalie-Nacken-Straße, Distance: 25.4 meters, Time: 18.3 seconds
Name: Amalie-Nacken-Straße, Instruction: Turn right onto Amalie-Nacken-Straße, Distance: 26.6 meters, Time: 19.1 seconds
Name: Amalie-Nacken-Straße, Instruction: Turn left onto Amalie-Nacken-Straße, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Continue straight, Distance: 5.2 meters, Time: 3.8 seconds
Name: Helmut-Schmidt-Allee, Instruction: Turn right onto Helmut-Schmidt-Allee, Distance: 62.1 meters, Time: 44.7 seconds
Name: Golo-Mann-Weg, Instruction: Turn left onto Golo-Mann-Weg, Distance: 852.5 meters, Time: 613.8 seconds
Name: -, Instruction: Continue straight, Distance: 95.1 meters, Time: 68.5 seconds
Name: Christl-Sembach-Krone-Straße, Instruction: Turn right onto Christl-Sembach-Krone-Straße, Distance: 48.7 meters, Time: 35.0 seconds
Name: -, Instruction: Turn slight left, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Turn left, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Turn left, Distance: 63.2 meters, Time: 45.5 seconds
Name: Hörweg, Instruction: Turn right onto Hörweg, Distance: 171.4 meters, Time: 123.4 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: Pretzfelder Straße, Instruction: Turn right onto Pretzfelder Straße, Distance: 595.0 meters, Time: 428.4 seconds
Name: Limesstraße, St 2345, Instruction: Turn left onto Limesstraße, St 2345, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 76.8 meters, Time: 55.3 seconds
Name: Aubing-Ost-Straße, Instruction: Turn sharp right onto Aubing-Ost-Straße, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
