Name: Lim Chu Kang Road, Instruction: Head south on Lim Chu Kang Road, Distance: 467.6 meters, Time: 336.7 seconds
Name: -, Instruction: Keep left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn slight right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Keep left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 62.3 meters, Time: 44.9 seconds
Name: -, Instruction: Turn left, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.0 seconds
Name: Cemetery South Street 34, Instruction: Turn right onto Cemetery South Street 34, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 225.6 meters, Time: 162.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
