Name: Graham Street, Instruction: Head south on Graham Street, Distance: 111.2 meters, Time: 80.0 seconds
Name: Victoria Street West Cycleway, Instruction: Turn left onto Victoria Street West Cycleway, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 651.1 meters, Time: 468.8 seconds
Name: Nelson Street Cycleway, Instruction: Continue straight onto Nelson Street Cycleway, Distance: 62.5 meters, Time: 45.0 seconds
Name: Union Street Shared Path, Instruction: Turn left onto Union Street Shared Path, Distance: 76.5 meters, Time: 55.1 seconds
Name: Union Street Shared Path, Instruction: Keep right onto Union Street Shared Path, Distance: 144.3 meters, Time: 103.9 seconds
Name: Pitt Street Shared Path, Instruction: Keep left onto Pitt Street Shared Path, Distance: 12.4 meters, Time: 9.0 seconds
Name: Pitt Street Shared Path, Instruction: Continue straight onto Pitt Street Shared Path, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 142.6 meters, Time: 102.6 seconds
Name: -, Instruction: Turn right, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
