Name: Munnik Laas Street, Instruction: Head north on Munnik Laas Street, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 177.5 meters, Time: 127.8 seconds
Name: Plattekloof Road, Instruction: Turn right onto Plattekloof Road, Distance: 93.9 meters, Time: 67.6 seconds
Name: Wagenaar Street, Instruction: Turn left onto Wagenaar Street, Distance: 589.1 meters, Time: 424.1 seconds
Name: Le Sueur Avenue, Instruction: Turn right onto Le Sueur Avenue, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 80.1 meters, Time: 57.7 seconds
Name: Plattekloof Road, Instruction: Turn right onto Plattekloof Road, Distance: 22.9 meters, Time: 16.5 seconds
Name: Le Sueur Avenue, Instruction: Turn left onto Le Sueur Avenue, Distance: 325.3 meters, Time: 234.2 seconds
Name: Le Sueur Avenue, Instruction: Keep right onto Le Sueur Avenue, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
