Name: Lankin Boulevard, Instruction: Head south on Lankin Boulevard, Distance: 226.5 meters, Time: 163.1 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn slight right, Distance: 70.2 meters, Time: 50.6 seconds
Name: Durant Avenue, Instruction: Turn left onto Durant Avenue, Distance: 139.6 meters, Time: 100.5 seconds
Name: -, Instruction: Turn right, Distance: 83.0 meters, Time: 59.8 seconds
Name: -, Instruction: Turn right, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Keep right, Distance: 9.1 meters, Time: 6.6 seconds
Name: Roosevelt Road, Instruction: Turn left onto Roosevelt Road, Distance: 192.4 meters, Time: 138.6 seconds
Name: -, Instruction: Turn right, Distance: 171.0 meters, Time: 123.1 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 218.8 meters, Time: 157.5 seconds
Name: -, Instruction: Keep right, Distance: 166.6 meters, Time: 120.0 seconds
Name: Frankdale Avenue, Instruction: Turn left onto Frankdale Avenue, Distance: 206.7 meters, Time: 148.8 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 236.7 meters, Time: 170.5 seconds
Name: -, Instruction: Turn slight right, Distance: 107.3 meters, Time: 77.2 seconds
Name: -, Instruction: Turn left, Distance: 90.2 meters, Time: 64.9 seconds
Name: -, Instruction: Keep right, Distance: 11.7 meters, Time: 8.5 seconds
Name: -, Instruction: Turn slight right, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Turn slight left, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 115.8 meters, Time: 83.4 seconds
Name: -, Instruction: Turn left, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Turn right, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn right, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn slight left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 88.8 meters, Time: 63.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
