Name: Tannery Lane, Instruction: Head northwest on Tannery Lane, Distance: 480.8 meters, Time: 346.2 seconds
Name: Lorong Pendek, Instruction: Turn right onto Lorong Pendek, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 94.2 meters, Time: 67.8 seconds
Name: -, Instruction: Turn right, Distance: 38.5 meters, Time: 27.7 seconds
Name: Jalan Wangi, Instruction: Turn left onto Jalan Wangi, Distance: 60.5 meters, Time: 43.5 seconds
Name: Siang Kuang Avenue, Instruction: Turn left onto Siang Kuang Avenue, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 278.5 meters, Time: 200.5 seconds
Name: Wan Tho Avenue, Instruction: Turn left onto Wan Tho Avenue, Distance: 131.7 meters, Time: 94.8 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.2 seconds
Name: -, Instruction: Turn left, Distance: 91.8 meters, Time: 66.1 seconds
Name: -, Instruction: Turn right, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 135.6 meters, Time: 97.6 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn slight left, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: Bidadari PCN, Instruction: Turn right onto Bidadari PCN, Distance: 294.1 meters, Time: 211.8 seconds
Name: Cycle Path Network, Instruction: Turn left onto Cycle Path Network, Distance: 46.1 meters, Time: 33.2 seconds
Name: Upper Aljunied Road, Instruction: Turn left onto Upper Aljunied Road, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Arrive at Upper Aljunied Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
