Name: Calle Coapa, Instruction: Head east on Calle Coapa, Distance: 116.7 meters, Time: 84.0 seconds
Name: Calle Moctezuma, Instruction: Turn right onto Calle Moctezuma, Distance: 119.6 meters, Time: 86.1 seconds
Name: Avenida San Fernando, Instruction: Turn right onto Avenida San Fernando, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 186.1 meters, Time: 134.0 seconds
Name: Calle Ignacio Allende, Instruction: Turn left onto Calle Ignacio Allende, Distance: 744.9 meters, Time: 536.3 seconds
Name: Calle Niño Jesús, Instruction: Turn right onto Calle Niño Jesús, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Keep left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.7 seconds
Name: -, Instruction: Turn left, Distance: 42.4 meters, Time: 30.6 seconds
Name: Avenida San Fernando, Instruction: Turn right onto Avenida San Fernando, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Arrive at Avenida San Fernando, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
