Name: Rue Ganneron, Instruction: Head northeast on Rue Ganneron, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 237.0 meters, Time: 170.6 seconds
Name: -, Instruction: Turn slight left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 263.1 meters, Time: 189.4 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 90.9 meters, Time: 65.4 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 206.2 meters, Time: 148.4 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 186.1 meters, Time: 134.0 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.3 seconds
Name: Rue Arthur Brière, Instruction: Turn left onto Rue Arthur Brière, Distance: 110.2 meters, Time: 79.3 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep left, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
