Name: Rue Albert Malet, Instruction: Head north on Rue Albert Malet, Distance: 6.9 meters, Time: 5.0 seconds
Name: Rue Jules Lemaître, Instruction: Turn left onto Rue Jules Lemaître, Distance: 64.4 meters, Time: 46.4 seconds
Name: -, Instruction: Turn right, Distance: 174.1 meters, Time: 125.3 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Keep left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn slight right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 114.5 meters, Time: 82.4 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 175.4 meters, Time: 126.3 seconds
Name: -, Instruction: Turn left, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Keep right, Distance: 175.7 meters, Time: 126.5 seconds
Name: -, Instruction: Turn slight left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 238.4 meters, Time: 171.6 seconds
Name: -, Instruction: Keep right, Distance: 134.1 meters, Time: 96.6 seconds
Name: -, Instruction: Turn left, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 90.4 meters, Time: 65.1 seconds
Name: Place de la Nation, Instruction: Turn right onto Place de la Nation, Distance: 198.9 meters, Time: 143.2 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
