Name: Westbury Road, Instruction: Head north on Westbury Road, Distance: 95.0 meters, Time: 68.4 seconds
Name: Silwood Road, Instruction: Turn left onto Silwood Road, Distance: 263.9 meters, Time: 190.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn right, Distance: 67.1 meters, Time: 48.3 seconds
Name: Duke Road, Instruction: Turn right onto Duke Road, Distance: 460.5 meters, Time: 331.6 seconds
Name: -, Instruction: Continue straight, Distance: 189.8 meters, Time: 136.7 seconds
Name: Myrtle Road, Instruction: Turn right onto Myrtle Road, Distance: 162.4 meters, Time: 116.9 seconds
Name: Rouwkoop Road, Instruction: Turn right onto Rouwkoop Road, Distance: 119.5 meters, Time: 86.1 seconds
Name: -, Instruction: Turn left, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn right, Distance: 75.6 meters, Time: 54.5 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
