Name: Chancery Lane, Instruction: Head north on Chancery Lane, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 68.0 meters, Time: 49.0 seconds
Name: -, Instruction: Turn right, Distance: 80.6 meters, Time: 58.0 seconds
Name: -, Instruction: Turn left, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 130.2 meters, Time: 93.8 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 245.6 meters, Time: 176.8 seconds
Name: -, Instruction: Keep left, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Keep right, Distance: 105.0 meters, Time: 75.6 seconds
Name: -, Instruction: Keep left, Distance: 100.2 meters, Time: 72.1 seconds
Name: -, Instruction: Turn left, Distance: 66.9 meters, Time: 48.2 seconds
Name: Moulmein Rise, Instruction: Turn sharp left onto Moulmein Rise, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
