Name: شارع المستقبل, Instruction: Head north on شارع المستقبل, Distance: 47.3 meters, Time: 34.0 seconds
Name: شارع الامل, Instruction: Turn left onto شارع الامل, Distance: 74.8 meters, Time: 53.9 seconds
Name: شارع الفتح, Instruction: Turn right onto شارع الفتح, Distance: 105.1 meters, Time: 75.7 seconds
Name: شارع ميدان النصر, Instruction: Turn left onto شارع ميدان النصر, Distance: 127.2 meters, Time: 91.6 seconds
Name: شارع الفجر, Instruction: Turn right onto شارع الفجر, Distance: 65.8 meters, Time: 47.4 seconds
Name: شارع الشباب الجانبى, Instruction: Turn left onto شارع الشباب الجانبى, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: شارع الشباب, Instruction: Turn left onto شارع الشباب, Distance: 33.3 meters, Time: 24.0 seconds
Name: محور محمد فريد, Instruction: Enter the roundabout and take the 3rd exit onto محور محمد فريد, Distance: 78.8 meters, Time: 56.8 seconds
Name: -, Instruction: Turn right, Distance: 395.2 meters, Time: 284.5 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: محور محمد فريد, Instruction: Turn left onto محور محمد فريد, Distance: 236.0 meters, Time: 169.9 seconds
Name: محور جمال عبد الناصر, Instruction: Turn slight right onto محور جمال عبد الناصر, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: محور جمال عبد الناصر, Instruction: Turn left onto محور جمال عبد الناصر, Distance: 38.3 meters, Time: 27.6 seconds
Name: محور جمال عبد الناصر الجانبى, Instruction: Turn right onto محور جمال عبد الناصر الجانبى, Distance: 37.9 meters, Time: 27.3 seconds
Name: محور جمال عبد الناصر الجانبى, Instruction: Turn slight right onto محور جمال عبد الناصر الجانبى, Distance: 147.3 meters, Time: 106.1 seconds
Name: -, Instruction: Turn left, Distance: 81.3 meters, Time: 58.5 seconds
Name: شارع هارون الرشيد, Instruction: Turn left onto شارع هارون الرشيد, Distance: 337.8 meters, Time: 243.2 seconds
Name: -, Instruction: Turn left, Distance: 106.6 meters, Time: 76.8 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 35.6 meters, Time: 25.6 seconds
Name: محور محمد فريد, Instruction: Turn right onto محور محمد فريد, Distance: 37.5 meters, Time: 27.0 seconds
Name: شارع ابن تيميه, Instruction: Enter the roundabout and take the 2nd exit onto شارع ابن تيميه, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 29.5 meters, Time: 21.3 seconds
Name: شارع ابن تيميه, Instruction: Turn left onto شارع ابن تيميه, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
