Name: BG, Instruction: Head southeast on BG, Distance: 40.6 meters, Time: 29.2 seconds
Name: 36, Instruction: Turn right onto 36, Distance: 18.9 meters, Time: 13.6 seconds
Name: 36, Instruction: Turn left onto 36, Distance: 12.0 meters, Time: 8.6 seconds
Name: The Carriageway, Instruction: Turn left onto The Carriageway, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Continue straight, Distance: 179.1 meters, Time: 129.0 seconds
Name: -, Instruction: Continue straight, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Continue straight, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Continue straight, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 332.9 meters, Time: 239.7 seconds
Name: -, Instruction: Keep right, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: Clarke Lane, Instruction: Turn right onto Clarke Lane, Distance: 52.6 meters, Time: 37.9 seconds
Name: Pole Lane, Instruction: Turn left onto Pole Lane, Distance: 80.9 meters, Time: 58.2 seconds
Name: Pole Lane, Instruction: Continue straight onto Pole Lane, Distance: 8.1 meters, Time: 5.8 seconds
Name: Oxley Street, Instruction: Turn right onto Oxley Street, Distance: 150.0 meters, Time: 108.0 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.3 seconds
Name: Hume Street, Instruction: Turn right onto Hume Street, Distance: 103.8 meters, Time: 74.8 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn left, Distance: 111.4 meters, Time: 80.2 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
