Name: Ryerson Avenue, Instruction: Head north on Ryerson Avenue, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 154.9 meters, Time: 111.5 seconds
Name: -, Instruction: Turn left, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 126.8 meters, Time: 91.3 seconds
Name: -, Instruction: Keep right, Distance: 387.5 meters, Time: 279.0 seconds
Name: -, Instruction: Keep right, Distance: 345.8 meters, Time: 248.9 seconds
Name: -, Instruction: Turn right, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 154.0 meters, Time: 110.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
