Name: Rue La Caille, Instruction: Head south on Rue La Caille, Distance: 16.5 meters, Time: 11.9 seconds
Name: Rue du Capitaine Lagache, Instruction: Turn left onto Rue du Capitaine Lagache, Distance: 110.2 meters, Time: 79.4 seconds
Name: Passage Legendre, Instruction: Continue straight onto Passage Legendre, Distance: 71.9 meters, Time: 51.8 seconds
Name: Avenue de Saint-Ouen, Instruction: Turn right onto Avenue de Saint-Ouen, Distance: 34.1 meters, Time: 24.5 seconds
Name: Rue Étex, Instruction: Turn left onto Rue Étex, Distance: 458.8 meters, Time: 330.3 seconds
Name: Rue Joseph de Maistre, Instruction: Turn slight right onto Rue Joseph de Maistre, Distance: 18.7 meters, Time: 13.5 seconds
Name: Rue Tourlaque, Instruction: Keep left onto Rue Tourlaque, Distance: 101.3 meters, Time: 72.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 50.9 meters, Time: 36.6 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn slight right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Rue Tourlaque, Instruction: Turn left onto Rue Tourlaque, Distance: 7.1 meters, Time: 5.1 seconds
Name: Rue Durantin, Instruction: Turn slight left onto Rue Durantin, Distance: 243.9 meters, Time: 175.6 seconds
Name: Rue Garreau, Instruction: Keep left onto Rue Garreau, Distance: 347.3 meters, Time: 250.1 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 68.5 meters, Time: 49.3 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn slight right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rue Tardieu, Instruction: Turn left onto Rue Tardieu, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Arrive at Rue Tardieu, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
