Name: Warner Road, Instruction: Head southwest on Warner Road, Distance: 354.3 meters, Time: 255.1 seconds
Name: Denmark Road, Instruction: Turn right onto Denmark Road, Distance: 30.6 meters, Time: 22.1 seconds
Name: Carew Street, Instruction: Turn left onto Carew Street, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 235.5 meters, Time: 169.6 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: Carew Street, Instruction: Turn left onto Carew Street, Distance: 6.4 meters, Time: 4.6 seconds
Name: Lilford Road, Instruction: Turn right onto Lilford Road, Distance: 84.3 meters, Time: 60.7 seconds
Name: Foreign Street, Instruction: Turn left onto Foreign Street, Distance: 73.6 meters, Time: 53.0 seconds
Name: -, Instruction: Keep right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 86.7 meters, Time: 62.4 seconds
Name: Minet Road, Instruction: Turn left onto Minet Road, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 125.4 meters, Time: 90.3 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.2 seconds
Name: Featley Road, Instruction: Turn sharp right onto Featley Road, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Arrive at Featley Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
