Name: Route de La Muette à Neuilly, Instruction: Head north on Route de La Muette à Neuilly, Distance: 72.4 meters, Time: 52.2 seconds
Name: Route de l'Étoile, Instruction: Turn sharp right onto Route de l'Étoile, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Keep left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn slight left, Distance: 170.1 meters, Time: 122.5 seconds
Name: -, Instruction: Keep right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Keep right, Distance: 106.7 meters, Time: 76.8 seconds
Name: -, Instruction: Keep right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 300.7 meters, Time: 216.5 seconds
Name: -, Instruction: Keep left, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Continue straight, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Keep right, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Turn right, Distance: 77.1 meters, Time: 55.5 seconds
Name: -, Instruction: Keep right, Distance: 107.9 meters, Time: 77.7 seconds
Name: -, Instruction: Keep left, Distance: 93.5 meters, Time: 67.3 seconds
Name: -, Instruction: Keep left, Distance: 17.3 meters, Time: 12.4 seconds
Name: Boulevard Maillot, Instruction: Turn right onto Boulevard Maillot, Distance: 5.6 meters, Time: 4.1 seconds
Name: Rue Paul Déroulède, Instruction: Turn left onto Rue Paul Déroulède, Distance: 158.3 meters, Time: 113.9 seconds
Name: -, Instruction: Turn right, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Turn left, Distance: 54.8 meters, Time: 39.5 seconds
Name: Avenue Charles de Gaulle, Instruction: Turn right onto Avenue Charles de Gaulle, Distance: 10.6 meters, Time: 7.6 seconds
Name: Place du Marché, Instruction: Turn left onto Place du Marché, Distance: 19.4 meters, Time: 14.0 seconds
Name: Rue de Sablonville, Instruction: Turn right onto Rue de Sablonville, Distance: 223.8 meters, Time: 161.2 seconds
Name: Rue de Chartres, Instruction: Turn sharp left onto Rue de Chartres, Distance: 25.4 meters, Time: 18.3 seconds
Name: Rue Montrosier, Instruction: Turn right onto Rue Montrosier, Distance: 62.6 meters, Time: 45.1 seconds
Name: Rue Montrosier, Instruction: Turn slight left onto Rue Montrosier, Distance: 664.8 meters, Time: 478.7 seconds
Name: -, Instruction: Arrive at Rue Montrosier, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
