Name: Place du Docteur Paul Michaux, Instruction: Head southeast on Place du Docteur Paul Michaux, Distance: 18.5 meters, Time: 13.3 seconds
Name: Rue du Lieutenant-Colonel Deport, Instruction: Turn right onto Rue du Lieutenant-Colonel Deport, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn right, Distance: 91.5 meters, Time: 65.9 seconds
Name: -, Instruction: Turn left, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 386.7 meters, Time: 278.4 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: Rue du Chemin Vert, Instruction: Turn right onto Rue du Chemin Vert, Distance: 7.2 meters, Time: 5.2 seconds
Name: Rue Thiers, Instruction: Turn left onto Rue Thiers, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 431.1 meters, Time: 310.4 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Keep right, Distance: 242.0 meters, Time: 174.2 seconds
Name: -, Instruction: Turn slight left, Distance: 155.2 meters, Time: 111.7 seconds
Name: -, Instruction: Turn slight left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 165.2 meters, Time: 118.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
