Name: Rue Championnet, Instruction: Head west on Rue Championnet, Distance: 120.2 meters, Time: 86.5 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 69.5 meters, Time: 50.1 seconds
Name: -, Instruction: Turn slight right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn slight right, Distance: 47.6 meters, Time: 34.3 seconds
Name: Rue Belliard, Instruction: Turn left onto Rue Belliard, Distance: 552.9 meters, Time: 398.1 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: Rue Leibniz, Instruction: Turn left onto Rue Leibniz, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue Vauvenargues, Instruction: Turn right onto Rue Vauvenargues, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at Rue Vauvenargues, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
