Name: Tengah Garden Walk, Instruction: Head northeast on Tengah Garden Walk, Distance: 17.6 meters, Time: 12.6 seconds
Name: Plantation Crescent, Instruction: Turn right onto Plantation Crescent, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 108.7 meters, Time: 78.3 seconds
Name: -, Instruction: Turn left, Distance: 130.4 meters, Time: 93.9 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn slight left, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn right, Distance: 79.1 meters, Time: 56.9 seconds
Name: -, Instruction: Turn left, Distance: 550.2 meters, Time: 396.1 seconds
Name: -, Instruction: Turn left, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 267.4 meters, Time: 192.5 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 204.4 meters, Time: 147.1 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
