Name: Windermere Avenue, Instruction: Head north on Windermere Avenue, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 107.0 meters, Time: 77.0 seconds
Name: -, Instruction: Keep right, Distance: 761.7 meters, Time: 548.4 seconds
Name: -, Instruction: Keep right, Distance: 112.5 meters, Time: 81.0 seconds
Name: -, Instruction: Turn slight right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight right, Distance: 291.9 meters, Time: 210.2 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 339.2 meters, Time: 244.2 seconds
Name: -, Instruction: Keep right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight right, Distance: 70.1 meters, Time: 50.4 seconds
Name: -, Instruction: Turn right, Distance: 28.0 meters, Time: 20.1 seconds
Name: -, Instruction: Turn slight right, Distance: 77.3 meters, Time: 55.7 seconds
Name: -, Instruction: Keep right, Distance: 166.4 meters, Time: 119.8 seconds
Name: -, Instruction: Turn left, Distance: 120.2 meters, Time: 86.5 seconds
Name: -, Instruction: Turn right, Distance: 144.6 meters, Time: 104.1 seconds
Name: -, Instruction: Keep left, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Turn right, Distance: 86.0 meters, Time: 61.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
