Name: Calle Paseo de los Cipreses, Instruction: Head north on Calle Paseo de los Cipreses, Distance: 147.4 meters, Time: 106.1 seconds
Name: Calle Paseo de los Naranjos, Instruction: Turn left onto Calle Paseo de los Naranjos, Distance: 71.2 meters, Time: 51.3 seconds
Name: Avenida Paseo de los Jardines, Instruction: Turn right onto Avenida Paseo de los Jardines, Distance: 98.2 meters, Time: 70.7 seconds
Name: Avenida Paseo de los Jardines, Instruction: Enter the roundabout and take the 2nd exit onto Avenida Paseo de los Jardines, Distance: 145.1 meters, Time: 104.5 seconds
Name: Avenida Río Churubusco, Instruction: Turn right onto Avenida Río Churubusco, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 386.9 meters, Time: 278.6 seconds
Name: -, Instruction: Keep left, Distance: 433.0 meters, Time: 311.8 seconds
Name: -, Instruction: Turn left, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
