Name: Seddon Street, Instruction: Head north on Seddon Street, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 45.6 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 165.0 meters, Time: 118.8 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 161.7 meters, Time: 116.4 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: Franklin Road, Instruction: Turn left onto Franklin Road, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Arrive at Franklin Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
