Name: President Avenue, Instruction: Head west on President Avenue, Distance: 8.5 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 221.9 meters, Time: 159.8 seconds
Name: Flora Street, Instruction: Turn left onto Flora Street, Distance: 400.4 meters, Time: 288.3 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 635.0 meters, Time: 457.2 seconds
Name: -, Instruction: Turn right, Distance: 92.7 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 586.8 meters, Time: 422.5 seconds
Name: -, Instruction: Turn left, Distance: 21.8 meters, Time: 15.7 seconds
Name: Linden Street, Instruction: Turn right onto Linden Street, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Arrive at Linden Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
