Name: Parc Rives de Seine - Georges Pompidou, Instruction: Head northeast on Parc Rives de Seine - Georges Pompidou, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Keep left, Distance: 149.1 meters, Time: 107.3 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Rue du Pont Louis-Philippe, Instruction: Turn left onto Rue du Pont Louis-Philippe, Distance: 584.5 meters, Time: 420.8 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 69.5 meters, Time: 50.0 seconds
Name: -, Instruction: Keep right, Distance: 101.3 meters, Time: 73.0 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn slight left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Keep right, Distance: 55.9 meters, Time: 40.2 seconds
Name: -, Instruction: Keep left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Keep right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Keep right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
