Name: Rue Joseph Python, Instruction: Head southwest on Rue Joseph Python, Distance: 11.9 meters, Time: 8.6 seconds
Name: Rue Louis Lumière, Instruction: Turn left onto Rue Louis Lumière, Distance: 4.3 meters, Time: 3.1 seconds
Name: Rue Louis Ganne, Instruction: Turn right onto Rue Louis Ganne, Distance: 121.1 meters, Time: 87.2 seconds
Name: -, Instruction: Turn right, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Turn left, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn slight right, Distance: 99.5 meters, Time: 71.6 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Keep left, Distance: 87.5 meters, Time: 63.0 seconds
Name: -, Instruction: Keep left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep left, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Keep right, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Keep right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 285.3 meters, Time: 205.4 seconds
Name: -, Instruction: Keep right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Keep left, Distance: 94.5 meters, Time: 68.1 seconds
Name: -, Instruction: Turn left, Distance: 49.5 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight left, Distance: 137.7 meters, Time: 99.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
