Name: Rhoda Street, Instruction: Head west on Rhoda Street, Distance: 74.4 meters, Time: 53.6 seconds
Name: Swanfield Street, Instruction: Turn left onto Swanfield Street, Distance: 28.7 meters, Time: 20.7 seconds
Name: Old Nichol Street, Instruction: Turn right onto Old Nichol Street, Distance: 253.9 meters, Time: 182.8 seconds
Name: Boundary Street, Instruction: Turn right onto Boundary Street, Distance: 2.7 meters, Time: 2.0 seconds
Name: Boundary Passage, Instruction: Turn left onto Boundary Passage, Distance: 64.5 meters, Time: 46.5 seconds
Name: Shoreditch High Street, A10, Instruction: Turn left onto Shoreditch High Street, A10, Distance: 102.0 meters, Time: 73.4 seconds
Name: Shoreditch High Street, A10, Instruction: Keep right onto Shoreditch High Street, A10, Distance: 110.4 meters, Time: 79.5 seconds
Name: -, Instruction: Turn right, Distance: 171.1 meters, Time: 123.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 134.2 meters, Time: 96.6 seconds
Name: Primrose Street, Instruction: Turn right onto Primrose Street, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 83.3 meters, Time: 60.0 seconds
Name: -, Instruction: Turn right, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 37.8 meters, Time: 27.2 seconds
Name: Sun Street Passage, Instruction: Turn left onto Sun Street Passage, Distance: 30.0 meters, Time: 21.6 seconds
Name: Sun Street Passage, Instruction: Keep left onto Sun Street Passage, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn right, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn left, Distance: 91.4 meters, Time: 65.8 seconds
Name: Broadgate, Instruction: Turn left onto Broadgate, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn slight right, Distance: 89.5 meters, Time: 64.4 seconds
Name: Finsbury Circus, Instruction: Turn right onto Finsbury Circus, Distance: 54.8 meters, Time: 39.4 seconds
Name: -, Instruction: Continue straight, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 132.5 meters, Time: 95.4 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.1 seconds
Name: Moor Place, Instruction: Turn left onto Moor Place, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Arrive at Moor Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
