Name: 染井銀座商店街, Instruction: Head southeast on 染井銀座商店街, Distance: 50.5 meters, Time: 36.4 seconds
Name: -, Instruction: Turn right, Distance: 61.2 meters, Time: 44.0 seconds
Name: -, Instruction: Turn left, Distance: 199.0 meters, Time: 143.3 seconds
Name: -, Instruction: Turn right, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn left, Distance: 159.9 meters, Time: 115.1 seconds
Name: -, Instruction: Turn left, Distance: 120.3 meters, Time: 86.6 seconds
Name: -, Instruction: Turn right, Distance: 53.4 meters, Time: 38.5 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 204.1 meters, Time: 146.9 seconds
Name: -, Instruction: Turn left, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn slight right, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
