Name: Brunswick Square, Instruction: Head west on Brunswick Square, Distance: 63.3 meters, Time: 45.6 seconds
Name: -, Instruction: Turn right, Distance: 63.9 meters, Time: 46.0 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 66.6 meters, Time: 48.0 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 115.2 meters, Time: 83.0 seconds
Name: Marchmont Street, Instruction: Turn slight right onto Marchmont Street, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 170.0 meters, Time: 122.4 seconds
Name: Burton Place, Instruction: Turn left onto Burton Place, Distance: 52.7 meters, Time: 37.9 seconds
Name: Burton Street, Instruction: Turn right onto Burton Street, Distance: 76.7 meters, Time: 55.2 seconds
Name: Dukes Road, Instruction: Turn left onto Dukes Road, Distance: 23.9 meters, Time: 17.2 seconds
Name: Duke's Road, Instruction: Turn right onto Duke's Road, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Turn left, Distance: 77.0 meters, Time: 55.5 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: Euston Road, Instruction: Turn left onto Euston Road, Distance: 131.2 meters, Time: 94.4 seconds
Name: Euston Road, Instruction: Turn left onto Euston Road, Distance: 96.5 meters, Time: 69.5 seconds
Name: Euston Road, Instruction: Continue straight onto Euston Road, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Keep right, Distance: 167.7 meters, Time: 120.7 seconds
Name: -, Instruction: Keep left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 119.8 meters, Time: 86.2 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn right, Distance: 354.9 meters, Time: 255.6 seconds
Name: -, Instruction: Turn left, Distance: 77.3 meters, Time: 55.6 seconds
Name: Marylebone Road, Instruction: Turn slight left onto Marylebone Road, Distance: 29.0 meters, Time: 20.9 seconds
Name: Peto Place, Instruction: Turn right onto Peto Place, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 34.0 meters, Time: 24.5 seconds
Name: Park Square East, Instruction: Turn right onto Park Square East, Distance: 113.8 meters, Time: 81.9 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: Park Square East, Instruction: Turn right onto Park Square East, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
