Name: Dawlish Avenue, Instruction: Head east on Dawlish Avenue, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Turn right, Distance: 104.1 meters, Time: 74.9 seconds
Name: Hargrave Lane, Instruction: Turn left onto Hargrave Lane, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 47.2 meters, Time: 33.9 seconds
Name: Wellness Way, Instruction: Turn right onto Wellness Way, Distance: 135.1 meters, Time: 97.2 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 154.7 meters, Time: 111.4 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Raab Boulevard, Instruction: Turn left onto Raab Boulevard, Distance: 111.8 meters, Time: 80.5 seconds
Name: Raab Boulevard, Instruction: Keep right onto Raab Boulevard, Distance: 116.8 meters, Time: 84.1 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 55.6 meters, Time: 40.0 seconds
Name: -, Instruction: Turn right, Distance: 112.1 meters, Time: 80.7 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
