Name: Calle Poniente 134, Instruction: Head west on Calle Poniente 134, Distance: 53.1 meters, Time: 38.2 seconds
Name: Avenida Ceylán, Instruction: Turn sharp left onto Avenida Ceylán, Distance: 396.1 meters, Time: 285.2 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: Avenida Ceylán, Instruction: Turn left onto Avenida Ceylán, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 495.4 meters, Time: 356.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 129.2 meters, Time: 93.0 seconds
Name: Calle Soledad, Instruction: Turn right onto Calle Soledad, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 134.8 meters, Time: 97.1 seconds
Name: Avenida de las Granjas, Instruction: Turn sharp left onto Avenida de las Granjas, Distance: 492.9 meters, Time: 354.9 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
