Name: Epsom Drive, Instruction: Head west on Epsom Drive, Distance: 223.9 meters, Time: 161.2 seconds
Name: Old Strandfontein Road, Instruction: Turn right onto Old Strandfontein Road, Distance: 79.5 meters, Time: 57.2 seconds
Name: -, Instruction: Turn right, Distance: 203.3 meters, Time: 146.3 seconds
Name: Sandown Drive, Instruction: Turn left onto Sandown Drive, Distance: 224.3 meters, Time: 161.5 seconds
Name: Saratoga Avenue, Instruction: Turn left onto Saratoga Avenue, Distance: 68.3 meters, Time: 49.2 seconds
Name: Old Strandfontein Road, Instruction: Turn right onto Old Strandfontein Road, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 130.6 meters, Time: 94.0 seconds
Name: Shaftesbury Road, Instruction: Continue straight onto Shaftesbury Road, Distance: 121.3 meters, Time: 87.3 seconds
Name: Theal Road, Instruction: Turn right onto Theal Road, Distance: 51.7 meters, Time: 37.2 seconds
Name: Aylesbury Crescent, Instruction: Turn left onto Aylesbury Crescent, Distance: 120.2 meters, Time: 86.5 seconds
Name: Becott Road, Instruction: Turn left onto Becott Road, Distance: 241.1 meters, Time: 173.6 seconds
Name: -, Instruction: Turn left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Keep left, Distance: 150.2 meters, Time: 108.2 seconds
Name: -, Instruction: Keep left, Distance: 54.8 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 53.8 meters, Time: 38.7 seconds
Name: -, Instruction: Turn left, Distance: 136.7 meters, Time: 98.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
