Name: Murphy Street, Instruction: Head southwest on Murphy Street, Distance: 100.4 meters, Time: 72.3 seconds
Name: Montgomery Avenue, Instruction: Turn right onto Montgomery Avenue, Distance: 65.6 meters, Time: 47.2 seconds
Name: Montgomery Avenue, Instruction: Keep left onto Montgomery Avenue, Distance: 22.3 meters, Time: 16.1 seconds
Name: Jamieson Street, Instruction: Enter the roundabout and take the 1st exit onto Jamieson Street, Distance: 278.2 meters, Time: 200.3 seconds
Name: The River Road, Instruction: Turn right onto The River Road, Distance: 5.0 meters, Time: 3.6 seconds
Name: Hedlund Street, Instruction: Turn left onto Hedlund Street, Distance: 239.3 meters, Time: 172.3 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 116.5 meters, Time: 83.8 seconds
Name: Ashmead Avenue, Instruction: Turn left onto Ashmead Avenue, Distance: 342.2 meters, Time: 246.4 seconds
Name: Ashmead Avenue, Instruction: Continue straight onto Ashmead Avenue, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Keep left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 277.3 meters, Time: 199.7 seconds
Name: -, Instruction: Turn left, Distance: 149.1 meters, Time: 107.4 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
