Name: Porlock Street, Instruction: Head west on Porlock Street, Distance: 50.9 meters, Time: 36.7 seconds
Name: Crosby Row, Instruction: Turn right onto Crosby Row, Distance: 109.1 meters, Time: 78.5 seconds
Name: Snowsfields, Instruction: Turn right onto Snowsfields, Distance: 8.8 meters, Time: 6.3 seconds
Name: Great Maze Pond, Instruction: Turn left onto Great Maze Pond, Distance: 258.4 meters, Time: 186.1 seconds
Name: St. Thomas Street, Instruction: Turn right onto St. Thomas Street, Distance: 4.0 meters, Time: 2.9 seconds
Name: Joiner Street, Instruction: Turn left onto Joiner Street, Distance: 19.2 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: London Bridge Street, Instruction: Turn right onto London Bridge Street, Distance: 26.2 meters, Time: 18.9 seconds
Name: London Bridge Street, Instruction: Turn left onto London Bridge Street, Distance: 152.5 meters, Time: 109.8 seconds
Name: -, Instruction: Turn right, Distance: 45.8 meters, Time: 32.9 seconds
Name: London Bridge Walk, Instruction: Turn left onto London Bridge Walk, Distance: 11.5 meters, Time: 8.3 seconds
Name: London Bridge Walk, Instruction: Turn slight right onto London Bridge Walk, Distance: 327.0 meters, Time: 235.5 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.8 seconds
Name: Lower Thames Street, Instruction: Turn right onto Lower Thames Street, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.3 seconds
Name: Lower Thames Street, Instruction: Turn right onto Lower Thames Street, Distance: 129.9 meters, Time: 93.5 seconds
Name: Monument Street, Instruction: Turn left onto Monument Street, Distance: 5.8 meters, Time: 4.2 seconds
Name: Lovat Lane, Instruction: Turn slight right onto Lovat Lane, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Arrive at Lovat Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
