Name: Smedley Street, Instruction: Head southwest on Smedley Street, Distance: 67.6 meters, Time: 48.6 seconds
Name: Pallant Street, Instruction: Turn left onto Pallant Street, Distance: 418.9 meters, Time: 301.6 seconds
Name: -, Instruction: Turn left, Distance: 97.4 meters, Time: 70.1 seconds
Name: John Walker Drive, Instruction: Turn right onto John Walker Drive, Distance: 85.2 meters, Time: 61.3 seconds
Name: John Walker Drive, Instruction: Keep right onto John Walker Drive, Distance: 31.8 meters, Time: 22.9 seconds
Name: John Walker Drive, Instruction: Enter the roundabout and take the 3rd exit onto John Walker Drive, Distance: 496.4 meters, Time: 357.4 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 114.9 meters, Time: 82.7 seconds
Name: Glenveagh Park Drive, Instruction: Turn right onto Glenveagh Park Drive, Distance: 73.0 meters, Time: 52.5 seconds
Name: -, Instruction: Arrive at Glenveagh Park Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
