Name: Ming Street, Instruction: Head west on Ming Street, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn slight left, Distance: 39.3 meters, Time: 28.3 seconds
Name: West India Dock Road, Instruction: Turn left onto West India Dock Road, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn slight right, Distance: 60.8 meters, Time: 43.8 seconds
Name: Hertsmere Road, Instruction: Turn left onto Hertsmere Road, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Turn right, Distance: 102.6 meters, Time: 73.9 seconds
Name: North Quay, Instruction: Turn left onto North Quay, Distance: 46.0 meters, Time: 33.1 seconds
Name: -, Instruction: Turn right, Distance: 179.9 meters, Time: 129.5 seconds
Name: -, Instruction: Keep left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn slight left, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Continue straight, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Turn right, Distance: 91.4 meters, Time: 65.8 seconds
Name: Mackenzie Walk, Instruction: Turn left onto Mackenzie Walk, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Keep right, Distance: 22.0 meters, Time: 15.9 seconds
Name: Jubilee Plaza, Instruction: Turn right onto Jubilee Plaza, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
