Name: River Valley Road, Instruction: Head east on River Valley Road, Distance: 63.7 meters, Time: 45.9 seconds
Name: -, Instruction: Turn right, Distance: 177.9 meters, Time: 128.1 seconds
Name: -, Instruction: Keep right, Distance: 195.4 meters, Time: 140.7 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 321.8 meters, Time: 231.7 seconds
Name: Arnasalam Chetty Road, Instruction: Turn sharp right onto Arnasalam Chetty Road, Distance: 6.8 meters, Time: 4.9 seconds
Name: Martin Road, Instruction: Turn sharp left onto Martin Road, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Keep left, Distance: 23.8 meters, Time: 17.2 seconds
Name: Mohamed Sultan Road, Instruction: Turn slight left onto Mohamed Sultan Road, Distance: 48.7 meters, Time: 35.0 seconds
Name: Nanson Road, Instruction: Turn right onto Nanson Road, Distance: 84.6 meters, Time: 60.9 seconds
Name: Nanson Road, Instruction: Continue straight onto Nanson Road, Distance: 26.5 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 58.8 meters, Time: 42.3 seconds
Name: Alkaff Quay, Instruction: Turn right onto Alkaff Quay, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Keep left, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 119.6 meters, Time: 86.1 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn slight right, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Turn left, Distance: 138.4 meters, Time: 99.7 seconds
Name: -, Instruction: Turn right, Distance: 79.0 meters, Time: 56.9 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 299.2 meters, Time: 215.4 seconds
Name: -, Instruction: Turn right, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Turn left, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
