Name: شارع السادات, Instruction: Head southeast on شارع السادات, Distance: 238.6 meters, Time: 171.8 seconds
Name: -, Instruction: Keep left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Keep right, Distance: 610.3 meters, Time: 439.4 seconds
Name: شارع خزان غراب, Instruction: Turn left onto شارع خزان غراب, Distance: 397.5 meters, Time: 286.2 seconds
Name: شارع خزان غراب, Instruction: Continue straight onto شارع خزان غراب, Distance: 31.7 meters, Time: 22.8 seconds
Name: شارع جمال الدين الافغانى, Instruction: Turn right onto شارع جمال الدين الافغانى, Distance: 114.0 meters, Time: 82.1 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn left onto شارع احسان عبد القدوس, Distance: 713.7 meters, Time: 513.9 seconds
Name: شارع جمال الدين الافغانى, Instruction: Turn left onto شارع جمال الدين الافغانى, Distance: 41.8 meters, Time: 30.1 seconds
Name: شارع جمال الدين الافغانى, Instruction: Continue straight onto شارع جمال الدين الافغانى, Distance: 219.3 meters, Time: 157.9 seconds
Name: شارع الشيخ الفحام, Instruction: Turn left onto شارع الشيخ الفحام, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Arrive at شارع الشيخ الفحام, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
