Name: Lamb's Conduit Street, Instruction: Head north on Lamb's Conduit Street, Distance: 230.1 meters, Time: 165.7 seconds
Name: Long Yard, Instruction: Turn right onto Long Yard, Distance: 4.0 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 91.9 meters, Time: 66.2 seconds
Name: -, Instruction: Turn left, Distance: 182.6 meters, Time: 131.5 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Keep right, Distance: 69.0 meters, Time: 49.7 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 66.6 meters, Time: 48.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 111.5 meters, Time: 80.3 seconds
Name: -, Instruction: Turn right, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 62.7 meters, Time: 45.1 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 116.3 meters, Time: 83.7 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: Tonbridge Street, Instruction: Turn right onto Tonbridge Street, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at Tonbridge Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
