Name: Harrier Avenue, Instruction: Head north on Harrier Avenue, Distance: 230.0 meters, Time: 165.6 seconds
Name: Falcon Circuit, Instruction: Turn right onto Falcon Circuit, Distance: 95.9 meters, Time: 69.0 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 100.8 meters, Time: 72.6 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 62.0 meters, Time: 44.6 seconds
Name: -, Instruction: Turn left, Distance: 164.0 meters, Time: 118.0 seconds
Name: -, Instruction: Turn left, Distance: 42.0 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 291.8 meters, Time: 210.1 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 517.9 meters, Time: 372.9 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 564.0 meters, Time: 406.1 seconds
Name: Clarke Close, Instruction: Turn right onto Clarke Close, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at Clarke Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
