Name: Vaal Road, Instruction: Head southeast on Vaal Road, Distance: 169.5 meters, Time: 122.0 seconds
Name: Koeberg Service Road, Instruction: Turn right onto Koeberg Service Road, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 496.1 meters, Time: 357.2 seconds
Name: -, Instruction: Turn right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: Corsair Road, Instruction: Turn right onto Corsair Road, Distance: 8.3 meters, Time: 6.0 seconds
Name: Aerial Road, Instruction: Turn left onto Aerial Road, Distance: 328.2 meters, Time: 236.3 seconds
Name: Daniell Road, Instruction: Turn left onto Daniell Road, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Continue straight, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn slight left, Distance: 143.9 meters, Time: 103.6 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
