Name: Allée des Tilleuls, Instruction: Head northwest on Allée des Tilleuls, Distance: 7.8 meters, Time: 5.6 seconds
Name: Rue du Général Chanzy, Instruction: Turn right onto Rue du Général Chanzy, Distance: 105.6 meters, Time: 76.0 seconds
Name: Rue de Paris, D 6, Instruction: Turn left onto Rue de Paris, D 6, Distance: 49.7 meters, Time: 35.8 seconds
Name: Rue de Valmy, Instruction: Turn right onto Rue de Valmy, Distance: 101.5 meters, Time: 73.1 seconds
Name: Avenue de Gravelle, Instruction: Turn left onto Avenue de Gravelle, Distance: 15.1 meters, Time: 10.9 seconds
Name: Route de Reuilly, Instruction: Turn right onto Route de Reuilly, Distance: 11.5 meters, Time: 8.3 seconds
Name: Route de Reuilly, Instruction: Turn slight left onto Route de Reuilly, Distance: 130.5 meters, Time: 94.0 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn slight left, Distance: 347.8 meters, Time: 250.4 seconds
Name: Route de la Ceinture du Lac Daumesnil, Instruction: Turn left onto Route de la Ceinture du Lac Daumesnil, Distance: 29.5 meters, Time: 21.3 seconds
Name: -, Instruction: Turn right, Distance: 94.8 meters, Time: 68.2 seconds
Name: Promenade Maurice-Boitel, Instruction: Turn slight left onto Promenade Maurice-Boitel, Distance: 28.6 meters, Time: 20.6 seconds
Name: Promenade Maurice-Boitel, Instruction: Keep right onto Promenade Maurice-Boitel, Distance: 186.0 meters, Time: 133.9 seconds
Name: -, Instruction: Keep left, Distance: 157.7 meters, Time: 113.5 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Keep right, Distance: 84.0 meters, Time: 60.5 seconds
Name: -, Instruction: Turn slight right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Keep right, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Keep left, Distance: 140.5 meters, Time: 101.2 seconds
Name: -, Instruction: Keep left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Keep right, Distance: 155.8 meters, Time: 112.2 seconds
Name: -, Instruction: Turn left, Distance: 102.6 meters, Time: 73.9 seconds
Name: -, Instruction: Turn slight right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Keep right, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn left, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
