Name: East 14th Avenue, Instruction: Head west on East 14th Avenue, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Turn right, Distance: 177.5 meters, Time: 127.8 seconds
Name: -, Instruction: Turn left, Distance: 198.3 meters, Time: 142.8 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 267.9 meters, Time: 192.9 seconds
Name: -, Instruction: Turn right, Distance: 307.4 meters, Time: 221.3 seconds
Name: -, Instruction: Turn right, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn left, Distance: 60.8 meters, Time: 43.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
