Name: Nanyang Drive, Instruction: Head south on Nanyang Drive, Distance: 22.3 meters, Time: 16.0 seconds
Name: Lien Ying Chow Drive, Instruction: Enter the roundabout and take the 3rd exit onto Lien Ying Chow Drive, Distance: 250.9 meters, Time: 180.7 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 215.3 meters, Time: 155.0 seconds
Name: -, Instruction: Keep left, Distance: 107.1 meters, Time: 77.1 seconds
Name: -, Instruction: Turn left, Distance: 209.8 meters, Time: 151.1 seconds
Name: -, Instruction: Keep right, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 270.8 meters, Time: 195.0 seconds
Name: -, Instruction: Keep left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Continue straight, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn left, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Continue straight, Distance: 601.2 meters, Time: 432.9 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: Jurong West Street 81, Instruction: Turn left onto Jurong West Street 81, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn right, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Turn right, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn left, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Turn left, Distance: 215.5 meters, Time: 155.2 seconds
Name: -, Instruction: Turn right, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
