Name: Maltings Place, Instruction: Head west on Maltings Place, Distance: 4.0 meters, Time: 2.9 seconds
Name: Brunswick Court, Instruction: Turn left onto Brunswick Court, Distance: 125.1 meters, Time: 90.1 seconds
Name: Tanner Street, Instruction: Turn left onto Tanner Street, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 291.7 meters, Time: 210.0 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 169.6 meters, Time: 122.1 seconds
Name: -, Instruction: Keep left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 346.0 meters, Time: 249.1 seconds
Name: -, Instruction: Turn right, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn left, Distance: 22.8 meters, Time: 16.4 seconds
Name: Darwin Street, Instruction: Turn right onto Darwin Street, Distance: 126.3 meters, Time: 90.9 seconds
Name: Gavel Street, Instruction: Turn left onto Gavel Street, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Arrive at Gavel Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
