Name: Gazzard Street, Instruction: Head west on Gazzard Street, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 654.6 meters, Time: 471.3 seconds
Name: Talbot Road, Instruction: Turn left onto Talbot Road, Distance: 8.6 meters, Time: 6.2 seconds
Name: Auburn Road, Instruction: Turn right onto Auburn Road, Distance: 75.9 meters, Time: 54.6 seconds
Name: Auburn Road, Instruction: Enter the roundabout and take the 1st exit onto Auburn Road, Distance: 153.8 meters, Time: 110.7 seconds
Name: Farnell Road, Instruction: Turn left onto Farnell Road, Distance: 169.1 meters, Time: 121.8 seconds
Name: -, Instruction: Turn right, Distance: 20.1 meters, Time: 14.5 seconds
Name: Martha Street, Instruction: Turn right onto Martha Street, Distance: 497.9 meters, Time: 358.5 seconds
Name: -, Instruction: Keep left, Distance: 106.3 meters, Time: 76.5 seconds
Name: Cooper Road, Instruction: Turn right onto Cooper Road, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 471.0 meters, Time: 339.1 seconds
Name: -, Instruction: Turn right, Distance: 109.7 meters, Time: 79.0 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
