Name: Corringham Road, Instruction: Head north on Corringham Road, Distance: 334.3 meters, Time: 240.7 seconds
Name: Barn Way, Instruction: Turn left onto Barn Way, Distance: 296.5 meters, Time: 213.5 seconds
Name: West Hill, Instruction: Turn left onto West Hill, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn right, Distance: 331.3 meters, Time: 238.5 seconds
Name: -, Instruction: Turn left, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Turn slight left, Distance: 69.8 meters, Time: 50.3 seconds
Name: -, Instruction: Keep right, Distance: 265.0 meters, Time: 190.8 seconds
Name: -, Instruction: Continue straight, Distance: 266.6 meters, Time: 191.9 seconds
Name: -, Instruction: Turn left, Distance: 65.1 meters, Time: 46.9 seconds
Name: The Mall, Instruction: Turn left onto The Mall, Distance: 20.2 meters, Time: 14.6 seconds
Name: Preston Hill, Instruction: Continue straight onto Preston Hill, Distance: 288.2 meters, Time: 207.5 seconds
Name: -, Instruction: Arrive at Preston Hill, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
