Name: Jubilee Avenue, Instruction: Head southwest on Jubilee Avenue, Distance: 206.6 meters, Time: 148.8 seconds
Name: Narrabeen Creek Path, Instruction: Turn left onto Narrabeen Creek Path, Distance: 293.7 meters, Time: 211.5 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Continue straight, Distance: 153.8 meters, Time: 110.7 seconds
Name: -, Instruction: Turn left, Distance: 43.6 meters, Time: 31.4 seconds
Name: Echidna Way, Instruction: Turn left onto Echidna Way, Distance: 5.3 meters, Time: 3.8 seconds
Name: Casuarina Drive, Instruction: Turn right onto Casuarina Drive, Distance: 72.4 meters, Time: 52.1 seconds
Name: Callistemon Way, Instruction: Enter the roundabout and take the 2nd exit onto Callistemon Way, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Keep left, Distance: 75.2 meters, Time: 54.1 seconds
Name: -, Instruction: Turn left, Distance: 217.7 meters, Time: 156.7 seconds
Name: -, Instruction: Turn right, Distance: 67.3 meters, Time: 48.4 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn right, Distance: 46.3 meters, Time: 33.3 seconds
Name: Kingfisher Lane, Instruction: Turn left onto Kingfisher Lane, Distance: 17.8 meters, Time: 12.8 seconds
Name: Kingfisher way, Instruction: Turn right onto Kingfisher way, Distance: 7.4 meters, Time: 5.4 seconds
Name: Kingfisher way, Instruction: Turn slight left onto Kingfisher way, Distance: 140.7 meters, Time: 101.3 seconds
Name: Shearwater Drive, Instruction: Enter the roundabout and take the 2nd exit onto Shearwater Drive, Distance: 81.7 meters, Time: 58.8 seconds
Name: Watergum Drive, Instruction: Turn right onto Watergum Drive, Distance: 75.0 meters, Time: 54.0 seconds
Name: -, Instruction: Arrive at Watergum Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
