Name: Boulevard Adolfo Ruiz Cortines, Instruction: Head west on Boulevard Adolfo Ruiz Cortines, Distance: 146.6 meters, Time: 105.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 145.0 meters, Time: 104.4 seconds
Name: -, Instruction: Turn right, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 130.0 meters, Time: 93.6 seconds
Name: -, Instruction: Turn right, Distance: 69.4 meters, Time: 50.0 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: Avenida Insurgentes Sur, Instruction: Turn right onto Avenida Insurgentes Sur, Distance: 456.4 meters, Time: 328.6 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: Avenida Insurgentes Sur, Instruction: Turn right onto Avenida Insurgentes Sur, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Arrive at Avenida Insurgentes Sur, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
