Name: Villa Bergerac, Instruction: Head north on Villa Bergerac, Distance: 67.3 meters, Time: 48.5 seconds
Name: Square du 11 Novembre, Instruction: Turn left onto Square du 11 Novembre, Distance: 17.8 meters, Time: 12.8 seconds
Name: Square du 11 Novembre, Instruction: Turn left onto Square du 11 Novembre, Distance: 84.2 meters, Time: 60.6 seconds
Name: Square du 11 Novembre, Instruction: Turn sharp left onto Square du 11 Novembre, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 49.2 meters, Time: 35.4 seconds
Name: Rue du Séminaire de Conflans, Instruction: Turn slight left onto Rue du Séminaire de Conflans, Distance: 185.4 meters, Time: 133.5 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 29.1 meters, Time: 20.9 seconds
Name: Avenue de la Liberté, Instruction: Turn left onto Avenue de la Liberté, Distance: 110.3 meters, Time: 79.4 seconds
Name: Allée de la Liberté, Instruction: Turn right onto Allée de la Liberté, Distance: 12.1 meters, Time: 8.7 seconds
Name: Allée Mahaut d'Artois, Instruction: Turn right onto Allée Mahaut d'Artois, Distance: 130.8 meters, Time: 94.2 seconds
Name: -, Instruction: Arrive at Allée Mahaut d'Artois, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
