Name: Prince Regent Lane, A112, Instruction: Head south on Prince Regent Lane, A112, Distance: 39.1 meters, Time: 28.1 seconds
Name: Bennett Road, Instruction: Turn left onto Bennett Road, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 212.3 meters, Time: 152.9 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Keep right, Distance: 64.3 meters, Time: 46.3 seconds
Name: Prince Regent Lane, Instruction: Continue straight onto Prince Regent Lane, Distance: 68.3 meters, Time: 49.2 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: Prince Regent Lane, Instruction: Turn left onto Prince Regent Lane, Distance: 248.8 meters, Time: 179.1 seconds
Name: Prince Regent Lane, A112, Instruction: Turn right onto Prince Regent Lane, A112, Distance: 34.0 meters, Time: 24.5 seconds
Name: Devonshire Road, Instruction: Turn right onto Devonshire Road, Distance: 165.6 meters, Time: 119.2 seconds
Name: Devonshire Road, Instruction: Turn left onto Devonshire Road, Distance: 27.7 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 33.0 meters, Time: 23.8 seconds
Name: Garvary Road, Instruction: Turn right onto Garvary Road, Distance: 111.2 meters, Time: 80.0 seconds
Name: Garvary Road, Instruction: Turn left onto Garvary Road, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 54.5 meters, Time: 39.2 seconds
Name: Leslie Road, Instruction: Turn left onto Leslie Road, Distance: 90.2 meters, Time: 64.9 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: Leslie Road, Instruction: Turn left onto Leslie Road, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: Ethel Road, Instruction: Turn right onto Ethel Road, Distance: 135.9 meters, Time: 97.9 seconds
Name: Freemasons Road, Instruction: Turn left onto Freemasons Road, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
