Name: Sussex Mews, Instruction: Head north on Sussex Mews, Distance: 103.4 meters, Time: 74.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 75.9 meters, Time: 54.7 seconds
Name: -, Instruction: Keep left, Distance: 24.5 meters, Time: 17.7 seconds
Name: -, Instruction: Continue straight, Distance: 785.1 meters, Time: 565.3 seconds
Name: -, Instruction: Turn right, Distance: 151.5 meters, Time: 109.1 seconds
Name: -, Instruction: Turn left, Distance: 595.4 meters, Time: 428.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Charles Street West, Instruction: Turn left onto Charles Street West, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 121.7 meters, Time: 87.6 seconds
Name: -, Instruction: Turn left, Distance: 129.0 meters, Time: 92.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
