Name: Stüdlstraße, Instruction: Head east on Stüdlstraße, Distance: 79.1 meters, Time: 56.9 seconds
Name: Steinbergerstraße, Instruction: Turn left onto Steinbergerstraße, Distance: 102.5 meters, Time: 73.8 seconds
Name: Hochlandstraße, Instruction: Turn right onto Hochlandstraße, Distance: 163.0 meters, Time: 117.4 seconds
Name: -, Instruction: Turn left, Distance: 175.1 meters, Time: 126.1 seconds
Name: -, Instruction: Keep right, Distance: 170.2 meters, Time: 122.6 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: Grohmannstraße, Instruction: Turn left onto Grohmannstraße, Distance: 344.3 meters, Time: 247.9 seconds
Name: Aschenbrennerstraße, Instruction: Turn left onto Aschenbrennerstraße, Distance: 497.8 meters, Time: 358.4 seconds
Name: -, Instruction: Turn left, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn left, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 76.4 meters, Time: 55.0 seconds
Name: Thelottstraße, Instruction: Turn right onto Thelottstraße, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Arrive at Thelottstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
