Name: Collier Street, Instruction: Head west on Collier Street, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 186.5 meters, Time: 134.3 seconds
Name: -, Instruction: Turn right, Distance: 199.9 meters, Time: 143.9 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Keep right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn slight right, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn left, Distance: 159.2 meters, Time: 114.6 seconds
Name: -, Instruction: Turn right, Distance: 122.8 meters, Time: 88.4 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Turn right, Distance: 152.6 meters, Time: 109.9 seconds
Name: -, Instruction: Turn right, Distance: 67.9 meters, Time: 48.9 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 52.9 meters, Time: 38.1 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 157.1 meters, Time: 113.1 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Keep left, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Keep right, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
