Name: Feinerweg, Instruction: Head west on Feinerweg, Distance: 187.0 meters, Time: 134.6 seconds
Name: Seidlhofstraße, Instruction: Turn right onto Seidlhofstraße, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn left, Distance: 384.4 meters, Time: 276.8 seconds
Name: -, Instruction: Keep right, Distance: 93.2 meters, Time: 67.1 seconds
Name: -, Instruction: Keep right, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Keep right, Distance: 843.2 meters, Time: 607.1 seconds
Name: -, Instruction: Turn right, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn right, Distance: 43.7 meters, Time: 31.5 seconds
Name: -, Instruction: Turn left, Distance: 149.7 meters, Time: 107.8 seconds
Name: Lehrer-Wirth-Straße, Instruction: Turn right onto Lehrer-Wirth-Straße, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.2 seconds
Name: Caroline-Herschel-Straße, Instruction: Turn left onto Caroline-Herschel-Straße, Distance: 293.2 meters, Time: 211.1 seconds
Name: -, Instruction: Arrive at Caroline-Herschel-Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
