Name: Korbinianstraße, Instruction: Head north on Korbinianstraße, Distance: 85.1 meters, Time: 61.2 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Keep left, Distance: 3.5 meters, Time: 2.5 seconds
Name: Wallensteinstraße, Instruction: Turn slight right onto Wallensteinstraße, Distance: 111.9 meters, Time: 80.6 seconds
Name: -, Instruction: Turn left, Distance: 76.0 meters, Time: 54.7 seconds
Name: -, Instruction: Turn left, Distance: 69.2 meters, Time: 49.8 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 374.8 meters, Time: 269.8 seconds
Name: Abtstraße, Instruction: Turn left onto Abtstraße, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 171.2 meters, Time: 123.2 seconds
Name: -, Instruction: Turn left, Distance: 87.6 meters, Time: 63.1 seconds
Name: Langensalzastraße, Instruction: Turn slight left onto Langensalzastraße, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
