Name: Morrison Avenue, Instruction: Head west on Morrison Avenue, Distance: 469.7 meters, Time: 338.2 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 88.6 meters, Time: 63.8 seconds
Name: -, Instruction: Turn slight right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 101.3 meters, Time: 72.9 seconds
Name: -, Instruction: Turn slight left, Distance: 302.2 meters, Time: 217.6 seconds
Name: -, Instruction: Keep right, Distance: 6.8 meters, Time: 4.9 seconds
Name: McRoberts Avenue, Instruction: Turn left onto McRoberts Avenue, Distance: 156.9 meters, Time: 112.9 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 133.2 meters, Time: 95.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.9 meters, Time: 3.5 seconds
Name: Innes Avenue, Instruction: Turn right onto Innes Avenue, Distance: 164.0 meters, Time: 118.1 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 26.2 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 127.3 meters, Time: 91.6 seconds
Name: -, Instruction: Turn left, Distance: 110.2 meters, Time: 79.4 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Prescott Avenue, Instruction: Turn left onto Prescott Avenue, Distance: 199.8 meters, Time: 143.9 seconds
Name: Rockwell Avenue, Instruction: Turn right onto Rockwell Avenue, Distance: 267.0 meters, Time: 192.2 seconds
Name: -, Instruction: Arrive at Rockwell Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
